Paper,AMEND,Age,Area,Body Type,Cortisol Exercise Cleaning,Created time,Effect,Files & media,Fitness Cleaning,Funding Notes,Label,Last edited time,Meta Checked,NULL,Number of Participants,Participants Cortisol,Participants Inflammation,"Participants Muscle Damage ",Participants Muscle Soreness,Participants Oxidative Stress,Participants Pain,Participants Sleep Quality,Product,Related to Results (1) (Research Papers ),Related to Results (1) (Research Papers ) 1,Results,Sex,Source,Studies Cortisol,Studies Inflammation,Studies Muscle Damage,Studies Muscle Soreness,Studies Oxidative Stress,Studies Pain,Studies Sleep Quality,Supplement,TLDR,Trial Design,Trial Length,URL,Year,⭕ Confidence,💊 Supplements
https://pubmed.ncbi.nlm.nih.gov/26502953,No,,"Anxiety,Cognition,Mood,Stress",,No,"June 6, 2023 1:49 PM",Decrease,,No,"""This research was supported by a grant funded by Dr Willmar Schwabe Gmbh & Co. KG.”","Anxiety,Cognition,Mood,Stress","April 18, 2025 4:17 PM",No,No,80,0,0,0,0,0,0,0,,"Participants who took the Rhodiola rosea L. extract reported a significant decrease in anxiety, stress, anger, confusion, depression and overall mood improvement after 14 days. (https://www.notion.so/Participants-who-took-the-Rhodiola-rosea-L-extract-reported-a-significant-decrease-in-anxiety-stre-f35c0f75c423415abd82e9bd7d840a86?pvs=21), Participants who took the Rhodiola rosea L. extract reported a significant decrease in anxiety, stress, anger, confusion, depression and overall mood improvement after 14 days. (https://www.notion.so/Participants-who-took-the-Rhodiola-rosea-L-extract-reported-a-significant-decrease-in-anxiety-stre-e331af457e7043c3aacf680b9a0c5836?pvs=21), Participants who took the Rhodiola rosea L. extract reported a significant decrease in anxiety, stress, anger, confusion, depression and overall mood improvement after 14 days. (https://www.notion.so/Participants-who-took-the-Rhodiola-rosea-L-extract-reported-a-significant-decrease-in-anxiety-stre-19ba3f75e4c94a72bd20065bb6a441b3?pvs=21), There were no observed benefits in terms of cognitive performance improvement among participants who took Rhodiola rosea L. extract compared to those who did not. (https://www.notion.so/There-were-no-observed-benefits-in-terms-of-cognitive-performance-improvement-among-participants-who-209fca31240d4bf9a7ae83983dc8641c?pvs=21)","Untitled (https://www.notion.so/0c45924eb27341659a0796f368b07bc7?pvs=21), Untitled (https://www.notion.so/0ebfe6ab718343d59d9a0bd6b92a3f47?pvs=21), Untitled (https://www.notion.so/c996a30936904cd5a490d67b3b5929d3?pvs=21)","Participants who took the Rhodiola rosea L. extract reported a significant decrease in anxiety, stress, anger, confusion, depression and overall mood improvement after 14 days. (https://www.notion.so/Participants-who-took-the-Rhodiola-rosea-L-extract-reported-a-significant-decrease-in-anxiety-stre-9213a1e9a4ca4121b6006c1f95ff0abc?pvs=21), There were no observed benefits in terms of cognitive performance improvement among participants who took Rhodiola rosea L. extract compared to those who did not. (https://www.notion.so/There-were-no-observed-benefits-in-terms-of-cognitive-performance-improvement-among-participants-who-d56afd40c7454b62a2715ce3adc534dc?pvs=21), Participants who took the Rhodiola rosea L. extract reported a significant decrease in anxiety, stress, anger, confusion, depression and overall mood improvement after 14 days. (https://www.notion.so/Participants-who-took-the-Rhodiola-rosea-L-extract-reported-a-significant-decrease-in-anxiety-stre-8fd9402b753648e79a43f53c985d0ea6?pvs=21), Participants who took the Rhodiola rosea L. extract reported a significant decrease in anxiety, stress, anger, confusion, depression and overall mood improvement after 14 days. (https://www.notion.so/Participants-who-took-the-Rhodiola-rosea-L-extract-reported-a-significant-decrease-in-anxiety-stre-249bbbdc8a2e4f5485703ac4412c2335?pvs=21)",Both sexes,"Anxiety Symptoms, Depression Symptoms, Fatigue Symptoms, Sleep Quality, Stress Signs And Symptoms, Vigor/Activity",0,0,0,0,0,0,0,Rhodiola Rosea,,Randomized controlled trial,1-2 Weeks,https://pubmed.ncbi.nlm.nih.gov/26502953/,,"✅,✅,✅,✅",Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
https://pubmed.ncbi.nlm.nih.gov/12725561,No,18-29,"Physical Fatigue ,Mental Fatigue","Healthy Weight, Trained, Overweight",No,"June 6, 2023 2:10 PM",Decrease,,No,,"Physical Fatigue ,Mental Fatigue","April 18, 2025 4:17 PM",No,No,121,0,0,0,0,0,0,0,,"The cadets who took either dose of the SHR-5 Rhodiola rosea extract showed a pronounced antifatigue effect, as shown by a statistically significant increase in the antifatigue index (AFI). (https://www.notion.so/The-cadets-who-took-either-dose-of-the-SHR-5-Rhodiola-rosea-extract-showed-a-pronounced-antifatigue--33ddbed25d8b418f9b29e7e2bcd7645e?pvs=21), The cadets who took either dose of the SHR-5 Rhodiola rosea extract showed a pronounced antifatigue effect, as shown by a statistically significant increase in the antifatigue index (AFI). (https://www.notion.so/The-cadets-who-took-either-dose-of-the-SHR-5-Rhodiola-rosea-extract-showed-a-pronounced-antifatigue--f80107b9be8246758c1ff000415a2cda?pvs=21)","Untitled (https://www.notion.so/67ed449967c5428a8c0997f7f07b2b34?pvs=21), Untitled (https://www.notion.so/7f53bb28843a45c9bce9df75c7d3f613?pvs=21)","The cadets who took either dose of the SHR-5 Rhodiola rosea extract showed a pronounced antifatigue effect, as shown by a statistically significant increase in the antifatigue index (AFI). (https://www.notion.so/The-cadets-who-took-either-dose-of-the-SHR-5-Rhodiola-rosea-extract-showed-a-pronounced-antifatigue--8114aa744d2f492080bb820dab3de72c?pvs=21), The cadets who took either dose of the SHR-5 Rhodiola rosea extract showed a pronounced antifatigue effect, as shown by a statistically significant increase in the antifatigue index (AFI). (https://www.notion.so/The-cadets-who-took-either-dose-of-the-SHR-5-Rhodiola-rosea-extract-showed-a-pronounced-antifatigue--80b338e30b3a4279aeea9c3dbcdcd387?pvs=21)",Male,"Cognition, Fatigue Symptoms, Subjective Wellbeing",0,0,0,0,0,0,0,Rhodiola Rosea,,Double-blind,1-7 Days,https://pubmed.ncbi.nlm.nih.gov/12725561/,,"✅,✅",Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
https://pubmed.ncbi.nlm.nih.gov/24503750,No,"8-29, 30-44, 45-64","Mental Fatigue,Stress,Attention,Cognition,Cortisol",,Yes,"June 6, 2023 2:21 PM",Decrease,Papers/ross2014.pdf,No,,"Mental Fatigue,Stress,Attention,Cognition,Cortisol","April 18, 2025 4:17 PM",No,No,60,60,0,0,0,0,0,0,,"In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement. (https://www.notion.so/In-the-study-participants-who-took-the-SHR-5-Rhodiola-rosea-extract-showed-a-significant-reduction--768f490b9ead44ad96413c9bdb252ac7?pvs=21), In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement. (https://www.notion.so/In-the-study-participants-who-took-the-SHR-5-Rhodiola-rosea-extract-showed-a-significant-reduction--6c177c5966d04ff982c888df17f60c07?pvs=21), In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement. (https://www.notion.so/In-the-study-participants-who-took-the-SHR-5-Rhodiola-rosea-extract-showed-a-significant-reduction--f8790d680c5c4d99bd16f96942ae88fb?pvs=21), In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement. (https://www.notion.so/In-the-study-participants-who-took-the-SHR-5-Rhodiola-rosea-extract-showed-a-significant-reduction--9bd4390d491f4a12afd02e48f6f087c3?pvs=21)","Untitled (https://www.notion.so/124ab09b815e4f5a908d04ec9ae7fdf2?pvs=21), Untitled (https://www.notion.so/4f2dcded9ef24394ae0ca69067ce799d?pvs=21), Untitled (https://www.notion.so/ece906869c464b53abf390573d3408a3?pvs=21)","In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement. (https://www.notion.so/In-the-study-participants-who-took-the-SHR-5-Rhodiola-rosea-extract-showed-a-significant-reduction--847b2a3bf8fa43d980ab765c325858b8?pvs=21), In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement. (https://www.notion.so/In-the-study-participants-who-took-the-SHR-5-Rhodiola-rosea-extract-showed-a-significant-reduction--8c06a18b13a245d68acb384dba40927f?pvs=21), In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement. (https://www.notion.so/In-the-study-participants-who-took-the-SHR-5-Rhodiola-rosea-extract-showed-a-significant-reduction--2fcbdc6f50e044b98b244ecd667ea000?pvs=21), In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement. (https://www.notion.so/In-the-study-participants-who-took-the-SHR-5-Rhodiola-rosea-extract-showed-a-significant-reduction--fa0f97bf5fbb43d6b8b7e36bcaf66fc6?pvs=21), The Rhodiola rosea extract significantly decreased cortisol responses to awakening stress in patients diagnosed with stress-related fatigue, suggesting an effective modulation of cortisol, a key stress hormone. (https://www.notion.so/The-Rhodiola-rosea-extract-significantly-decreased-cortisol-responses-to-awakening-stress-in-patient-f5217f0973454cf09f9a50993bbaf728?pvs=21)",Both sexes,"Attention, Depression Symptoms, Fatigue Symptoms, Stress Signs And Symptoms",1,0,0,0,0,0,0,Rhodiola Rosea,,Randomized controlled trial,2-4 Weeks,https://pubmed.ncbi.nlm.nih.gov/24503750,,"✅,✅,✅,✅,⭐",Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
https://pubmed.ncbi.nlm.nih.gov/25424121,No,,"Physical Fatigue ,Liver Enzymes",,No,"June 6, 2023 2:32 PM",Decrease,,No,,"Physical Fatigue ,Liver Enzymes","April 18, 2025 4:08 PM",No,No,30,0,0,0,0,0,0,0,,"Intravenous L-carnitine significantly reduced total cholesterol, alanine aminotransferase, systolic and diastolic blood pressure, weight, waist circumference, waist hip ratio, insulin concentration, γ-glutamyltransferase concentration, perceived hunger, physical fatigue, and fatigue severity. (https://www.notion.so/Intravenous-L-carnitine-significantly-reduced-total-cholesterol-alanine-aminotransferase-systolic--32c643f61735401dbf06c72b8bc700f8?pvs=21), Intravenous L-carnitine significantly reduced total cholesterol, alanine aminotransferase, systolic and diastolic blood pressure, weight, waist circumference, waist hip ratio, insulin concentration, γ-glutamyltransferase concentration, perceived hunger, physical fatigue, and fatigue severity. (https://www.notion.so/Intravenous-L-carnitine-significantly-reduced-total-cholesterol-alanine-aminotransferase-systolic--a042fd69a81d47378b78b60b48da260c?pvs=21)","Untitled (https://www.notion.so/205ca81c09d44aacb33a9688a6976ae4?pvs=21), Untitled (https://www.notion.so/969dba65484d486d99965aec4acb987b?pvs=21)","Intravenous L-carnitine significantly reduced total cholesterol, alanine aminotransferase, systolic and diastolic blood pressure, weight, waist circumference, waist hip ratio, insulin concentration, γ-glutamyltransferase concentration, perceived hunger, physical fatigue, and fatigue severity. (https://www.notion.so/Intravenous-L-carnitine-significantly-reduced-total-cholesterol-alanine-aminotransferase-systolic--3575c4d483d144749d27db883045d24d?pvs=21), Intravenous L-carnitine significantly reduced total cholesterol, alanine aminotransferase, systolic and diastolic blood pressure, weight, waist circumference, waist hip ratio, insulin concentration, γ-glutamyltransferase concentration, perceived hunger, physical fatigue, and fatigue severity. (https://www.notion.so/Intravenous-L-carnitine-significantly-reduced-total-cholesterol-alanine-aminotransferase-systolic--4b3d0073f4384861aa3ecce3e39f177b?pvs=21)",Both sexes,"Fatigue Symptoms, Liver Enzymes",0,0,0,0,0,0,0,L-Carnitine,,Randomized controlled trial,1-7 Days,https://pubmed.ncbi.nlm.nih.gov/25424121/,,"🚩,🚩",L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
https://pubmed.ncbi.nlm.nih.gov/8321112,No,18-29,"Physical Fatigue ","Healthy Weight, Trained",No,"June 13, 2023 6:46 PM",None,,No,,"Physical Fatigue ","April 18, 2025 4:08 PM",No,No,9,0,0,0,0,0,0,0,," L-carnitine supplementation did not influence nonprotein respiratory quotient, heart rate, perceived fatigue, and other blood parameters. (https://www.notion.so/L-carnitine-supplementation-did-not-influence-nonprotein-respiratory-quotient-heart-rate-perceived-537463d28f034552a0949c0bc27b8dfd?pvs=21)",Untitled (https://www.notion.so/0ed046c6822d4c218b54b11c828b87f1?pvs=21)," L-carnitine supplementation did not influence nonprotein respiratory quotient, heart rate, perceived fatigue, and other blood parameters. (https://www.notion.so/L-carnitine-supplementation-did-not-influence-nonprotein-respiratory-quotient-heart-rate-perceived-2e2da2d5de344914bf21c5980465cbf7?pvs=21)",Male,Fatigue Symptoms,0,0,0,0,0,0,0,L-Carnitine,,Double-blind,1-7 Days,https://pubmed.ncbi.nlm.nih.gov/8321112,,✅,L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
https://pubmed.ncbi.nlm.nih.gov/17658628,No,,"Physical Fatigue ,Mental Fatigue,Cognition,Muscle Soreness,Physical Fatigue ",,No,"June 15, 2023 9:44 AM",Decrease,,No,,"Physical Fatigue ,Mental Fatigue,Cognition,Muscle Soreness,Physical Fatigue ","April 18, 2025 4:08 PM",No,No,96,0,0,0,96,0,0,0,,"The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05). (https://www.notion.so/The-study-showed-significant-benefits-from-administering-acetyl-L-carnitine-ALC-to-the-elderly-wit-ed65e3e270f6496ab5c82fab9474f33b?pvs=21)","Untitled (https://www.notion.so/8ff87db8ce37429fa2a92cb404369dd0?pvs=21), Untitled (https://www.notion.so/b9f1d5548a2d4c238057c8fc4d2cd9dc?pvs=21), Untitled (https://www.notion.so/dca69378ad87408d92934bd9d9b30a37?pvs=21), Untitled (https://www.notion.so/e4a2939cc3fa49de9766fbad09ad759e?pvs=21), Untitled (https://www.notion.so/f9faa8679ad547ef95e5cdd78d90eb2e?pvs=21)","The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05). (https://www.notion.so/The-study-showed-significant-benefits-from-administering-acetyl-L-carnitine-ALC-to-the-elderly-wit-6ff473d50f5d4b889c4c79036833a112?pvs=21), The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05). (https://www.notion.so/The-study-showed-significant-benefits-from-administering-acetyl-L-carnitine-ALC-to-the-elderly-wit-67e43f6f00564dae88931f788a8a4ef1?pvs=21), The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05). (https://www.notion.so/The-study-showed-significant-benefits-from-administering-acetyl-L-carnitine-ALC-to-the-elderly-wit-9561a4a955d349a6aa3173cc7ed0c05f?pvs=21), The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05). (https://www.notion.so/The-study-showed-significant-benefits-from-administering-acetyl-L-carnitine-ALC-to-the-elderly-wit-3971d132c407492397648c768e3d16a9?pvs=21), The study showed significant benefits from administering acetyl L-carnitine (ALC) to the elderly with chronic fatigue syndrome. It reduced physical fatigue (p<0.001), mental fatigue (p<0.001), severity of fatigue (p<0.001), and resulted in improvements in functional status (p<0.001) and cognitive functions (p<0.001). Additional benefits observed include a decrease in muscle pain (-27%, p<0.05), prolonged fatigue after exercise (51%, p<0.0001), and sleep disorders (28%, p<0.05). (https://www.notion.so/The-study-showed-significant-benefits-from-administering-acetyl-L-carnitine-ALC-to-the-elderly-wit-61310b2a4d044f76b900db7e9c77a9b9?pvs=21)",N/A,"Cognition, Fatigue Symptoms",0,0,0,1,0,0,0,L-Carnitine,,Double-blind,n/a,https://pubmed.ncbi.nlm.nih.gov/17658628,,"✅,✅,✅,✅,🚩",L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
https://pubmed.ncbi.nlm.nih.gov/23439798,No,"18-29, 30-44, 45-64","Stress,Anxiety,Mood,Cortisol",Healthy Weight,Yes,"June 15, 2023 10:05 AM",Decrease,,No,,"Stress,Anxiety,Mood,Cortisol","April 18, 2025 4:20 PM",No,No,64,64,0,0,0,0,0,0,,"The study found that the group treated with a high-concentration full-spectrum extract of Ashwagandha roots showed a significant reduction in stress-assessment scores and serum cortisol levels, indicating a decrease in stress levels. (https://www.notion.so/The-study-found-that-the-group-treated-with-a-high-concentration-full-spectrum-extract-of-Ashwagandh-6fd7a3224e8748f3ac448ebe21c9361e?pvs=21), The study suggests that Ashwagandha root extract improves an individual's resistance towards stress and thereby improves self-assessed quality of life, which can be related to mood improvement. (https://www.notion.so/The-study-suggests-that-Ashwagandha-root-extract-improves-an-individual-s-resistance-towards-stress--95fb2134af844f228a6e283b4faaa7d3?pvs=21), The study also aimed to evaluate the efficacy of Ashwagandha roots in reducing anxiety. However, the abstract does not provide explicit results related to anxiety reduction. (https://www.notion.so/The-study-also-aimed-to-evaluate-the-efficacy-of-Ashwagandha-roots-in-reducing-anxiety-However-the-0c8a190528b54a2eaa888035c69e3cb6?pvs=21)","Untitled (https://www.notion.so/0bba697882bb4727b8ffa837a4646f40?pvs=21), Untitled (https://www.notion.so/353bef026fa94659b3128092edc06422?pvs=21), Untitled (https://www.notion.so/93e320bc9e5040768a06f75a054cae10?pvs=21)","The study found that the group treated with a high-concentration full-spectrum extract of Ashwagandha roots showed a significant reduction in stress-assessment scores and serum cortisol levels, indicating a decrease in stress levels. (https://www.notion.so/The-study-found-that-the-group-treated-with-a-high-concentration-full-spectrum-extract-of-Ashwagandh-40bce09f937c4fbd94fee884b43f6599?pvs=21), The study also aimed to evaluate the efficacy of Ashwagandha roots in reducing anxiety. However, the abstract does not provide explicit results related to anxiety reduction. (https://www.notion.so/The-study-also-aimed-to-evaluate-the-efficacy-of-Ashwagandha-roots-in-reducing-anxiety-However-the-953a84679ea94c3e93832e5305e6897c?pvs=21), The study suggests that Ashwagandha root extract improves an individual's resistance towards stress and thereby improves self-assessed quality of life, which can be related to mood improvement. (https://www.notion.so/The-study-suggests-that-Ashwagandha-root-extract-improves-an-individual-s-resistance-towards-stress--682b72e7a0234274b04bacb7b405d55f?pvs=21), Ashwagandha supplementation is effective in significantly reducing cortisol levels, demonstrating its potential as an adaptogen in managing and improving the physiological response to stress.  (https://www.notion.so/Ashwagandha-supplementation-is-effective-in-significantly-reducing-cortisol-levels-demonstrating-it-5b421e305eca4029b154d563ef7fa60d?pvs=21)",Both sexes,"Anxiety Symptoms, Cortisol, Depression Symptoms, Social Functioning, Stress Signs And Symptoms",1,0,0,0,0,0,0,Ashwagandha,,Double-blind,1-6 Months,https://pubmed.ncbi.nlm.nih.gov/23439798,,"✅,🚩,🚩,✅",Ashwagandha (https://www.notion.so/Ashwagandha-1d659c2aeec581829ff5c6842e0e9604?pvs=21)
https://pubmed.ncbi.nlm.nih.gov/22228617,No,"30-44, 45-64","Stress,Mental Fatigue,Mood,Cognition",Overweight,No,"June 15, 2023 10:37 AM",Decrease,,No,,"Stress,Mental Fatigue,Mood,Cognition","April 18, 2025 4:17 PM",No,No,82,0,0,0,0,0,0,0,,"The study used the Numbers Connecting Test, which is a cognitive test. However, the study does not provide explicit results from this test, so it is uncertain whether the treatment had an effect on cognition. (https://www.notion.so/The-study-used-the-Numbers-Connecting-Test-which-is-a-cognitive-test-However-the-study-does-not-p-0788dac253ab4feeb6192cfe811b641b?pvs=21), The study used the Multidimensional Fatigue Inventory 20, which is a tool often used to measure fatigue, including mental fatigue. The study reported clinically relevant improvements, which suggests that the treatment had a positive effect on mental fatigue. (https://www.notion.so/The-study-used-the-Multidimensional-Fatigue-Inventory-20-which-is-a-tool-often-used-to-measure-fati-5296142d54e844159c59c15d27b15cf5?pvs=21), The study showed clinically relevant improvements with regard to stress symptoms after treatment with Rhodiola rosea extract WS® 1375. Improvements were observed even after 3 days of treatment, as were continuing improvements after 1 and 4 weeks. (https://www.notion.so/The-study-showed-clinically-relevant-improvements-with-regard-to-stress-symptoms-after-treatment-wit-7b3561abe3154ce6b9b5e460d3f543e7?pvs=21), The study reported improvements in overall therapeutic effect, which could be interpreted as an improvement in mood. However, the study does not provide explicit details about mood changes, so this categorization is somewhat uncertain. (https://www.notion.so/The-study-reported-improvements-in-overall-therapeutic-effect-which-could-be-interpreted-as-an-impr-5efecbcb4c904101a16bbeac00f7f321?pvs=21)","Untitled (https://www.notion.so/2cbc8358e9ff43d583679fa9cda1ffef?pvs=21), Untitled (https://www.notion.so/691d538feaab4895bafc2021f7b81bf8?pvs=21), Untitled (https://www.notion.so/6f00010c8d7f4f56a0ffd999fdcf73d7?pvs=21), Untitled (https://www.notion.so/78b80b2f40e24410b525c7453731d417?pvs=21)","The study showed clinically relevant improvements with regard to stress symptoms after treatment with Rhodiola rosea extract WS® 1375. Improvements were observed even after 3 days of treatment, as were continuing improvements after 1 and 4 weeks. (https://www.notion.so/The-study-showed-clinically-relevant-improvements-with-regard-to-stress-symptoms-after-treatment-wit-4701ae6a129944d88f65e4a0f50ec0f5?pvs=21), The study used the Multidimensional Fatigue Inventory 20, which is a tool often used to measure fatigue, including mental fatigue. The study reported clinically relevant improvements, which suggests that the treatment had a positive effect on mental fatigue. (https://www.notion.so/The-study-used-the-Multidimensional-Fatigue-Inventory-20-which-is-a-tool-often-used-to-measure-fati-00bfb1b6e9484c7493945dcd0e6c4c3c?pvs=21), The study reported improvements in overall therapeutic effect, which could be interpreted as an improvement in mood. However, the study does not provide explicit details about mood changes, so this categorization is somewhat uncertain. (https://www.notion.so/The-study-reported-improvements-in-overall-therapeutic-effect-which-could-be-interpreted-as-an-impr-810180d6db3748a1973a374aff006d8b?pvs=21), The study used the Numbers Connecting Test, which is a cognitive test. However, the study does not provide explicit results from this test, so it is uncertain whether the treatment had an effect on cognition. (https://www.notion.so/The-study-used-the-Numbers-Connecting-Test-which-is-a-cognitive-test-However-the-study-does-not-p-305e7b75b5c14c5f81a43c148bc3c6ed?pvs=21)",Both sexes,"Cognition, Fatigue Symptoms, Stress Signs And Symptoms, Subjective Wellbeing",0,0,0,0,0,0,0,Rhodiola Rosea,,Non-controlled Trial,2-4 Weeks,https://pubmed.ncbi.nlm.nih.gov/22228617,,"✅,✅,🚩,🚩",Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
https://pubmed.ncbi.nlm.nih.gov/11536390,No,,"Sleep Quality,Stress",,No,"June 15, 2023 1:25 PM",Decrease,,No,,"Sleep Quality,Stress","April 17, 2025 4:26 PM",No,No,24,0,0,0,0,0,0,24,," Both kava and valerian significantly relieved stress and insomnia in patients. (https://www.notion.so/Both-kava-and-valerian-significantly-relieved-stress-and-insomnia-in-patients-d28dcc7e4bdc494b97df65817d0d87b1?pvs=21),  Both kava and valerian significantly relieved stress and insomnia in patients. (https://www.notion.so/Both-kava-and-valerian-significantly-relieved-stress-and-insomnia-in-patients-8ba21460688a4fc79a6dad9760a1ca1c?pvs=21)",Untitled (https://www.notion.so/ad01fda1ec3142f58fa3551db9320c1e?pvs=21)," Both kava and valerian significantly relieved stress and insomnia in patients. (https://www.notion.so/Both-kava-and-valerian-significantly-relieved-stress-and-insomnia-in-patients-eda3d60264d546e1ac835e2879b8f333?pvs=21),  Both kava and valerian significantly relieved stress and insomnia in patients. (https://www.notion.so/Both-kava-and-valerian-significantly-relieved-stress-and-insomnia-in-patients-58e9d1aaf5bb48d49d32cb2cc560f36e?pvs=21)",N/A,"Sleep Quality, Stress Signs And Symptoms",0,0,0,0,0,0,1,Kava,,Non-controlled Trial,n/a,https://pubmed.ncbi.nlm.nih.gov/11536390,,"✅,✅",Kava (https://www.notion.so/Kava-1d659c2aeec581029704dbeb0acd8f8e?pvs=21)
https://pubmed.ncbi.nlm.nih.gov/11536390,No,,"Stress,Sleep Quality",,No,"June 15, 2023 1:35 PM",Decrease,,No,,"Stress,Sleep Quality","April 17, 2025 4:53 PM",No,No,24,0,0,0,0,0,0,24,,"Both kava and valerian significantly relieved stress and insomnia in patients. (https://www.notion.so/Both-kava-and-valerian-significantly-relieved-stress-and-insomnia-in-patients-6f53236fd0be43d0a0de4a3f9ba057a0?pvs=21), Both kava and valerian significantly relieved stress and insomnia in patients. (https://www.notion.so/Both-kava-and-valerian-significantly-relieved-stress-and-insomnia-in-patients-ea36a7833da7433cadfb0c0a636109a4?pvs=21)","Untitled (https://www.notion.so/4df474acf9ab4bc3a6be4032f046a864?pvs=21), Untitled (https://www.notion.so/f20c7e31f02949b68c7f7e890b7403c5?pvs=21)","Both kava and valerian significantly relieved stress and insomnia in patients. (https://www.notion.so/Both-kava-and-valerian-significantly-relieved-stress-and-insomnia-in-patients-5df6140569a24e0089d268da8e45a7d8?pvs=21), Both kava and valerian significantly relieved stress and insomnia in patients. (https://www.notion.so/Both-kava-and-valerian-significantly-relieved-stress-and-insomnia-in-patients-5d7b56f8e4424241913fb3b4f9dafc5c?pvs=21)",n/a,Stress Signs And Symptoms,0,0,0,0,0,0,1,Valerian,,Non-controlled Trial,n/a,https://www.notion.so/Kava-and-valerian-in-the-treatment-of-stress-induced-insomnia-31b75fc5b2634c4bab5577d6f3631b9f?pvs=4,,"✅,✅",Valerian (https://www.notion.so/Valerian-1d659c2aeec5818dbbdfec41a29fac82?pvs=21)
