Results,Age,Benefit,Benefit Value,Body Type,Confidence,Cortisol Cleaning,Cortisol Filter,Created time,Inflammation Filter,Last edited time,Main Tag,Max Pain,Muscle Damage Filter,Muscle Soreness Filter,"Oxidative Stress Filter ",Pain Filter,Participants,Product,"Research Papers ",Score,Sex,Sleep Quality Filter,Sub Tag,Supplement,Trial Design,Trial Length,Year,💊 Supplements
"Participants who took the Rhodiola rosea L. extract reported a significant decrease in anxiety, stress, anger, confusion, depression and overall mood improvement after 14 days.",,Positive,1,,✅,No,0,"June 6, 2023 2:08 PM",0,"April 18, 2025 4:16 PM",Anxiety,Rhodiola Rosea,0,0,0,0,80,,"The Effects of Rhodiola rosea L. Extract on Anxiety, Stress, Cognition and Other Mood Symptoms (https://www.notion.so/The-Effects-of-Rhodiola-rosea-L-Extract-on-Anxiety-Stress-Cognition-and-Other-Mood-Symptoms-37cee49f4fa54e22b6a36dcde7f82c3b?pvs=21)",1,Both sexes,0,,Rhodiola Rosea,Randomized controlled trial,1-2 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
There were no observed benefits in terms of cognitive performance improvement among participants who took Rhodiola rosea L. extract compared to those who did not.,,NULL,-1,,✅,No,0,"June 6, 2023 2:09 PM",0,"April 18, 2025 4:16 PM",Cognition,Rhodiola Rosea,0,0,0,0,80,,"The Effects of Rhodiola rosea L. Extract on Anxiety, Stress, Cognition and Other Mood Symptoms (https://www.notion.so/The-Effects-of-Rhodiola-rosea-L-Extract-on-Anxiety-Stress-Cognition-and-Other-Mood-Symptoms-37cee49f4fa54e22b6a36dcde7f82c3b?pvs=21)",-1,Both sexes,0,,Rhodiola Rosea,Randomized controlled trial,1-2 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"The cadets who took either dose of the SHR-5 Rhodiola rosea extract showed a pronounced antifatigue effect, as shown by a statistically significant increase in the antifatigue index (AFI).",18-29,Positive,1,"Healthy Weight, Trained, Overweight",✅,No,0,"June 6, 2023 2:14 PM",0,"April 18, 2025 4:16 PM","Physical Fatigue ",Rhodiola Rosea,0,0,0,0,121,,A randomized trial of two different doses of a SHR-5 Rhodiola rosea extract versus placebo and control of capacity for mental work (https://www.notion.so/A-randomized-trial-of-two-different-doses-of-a-SHR-5-Rhodiola-rosea-extract-versus-placebo-and-contr-5a742c052dc744d292f9e90c254c8f6b?pvs=21),1,Male,0,,Rhodiola Rosea,Double-blind,1-7 Days,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement.","8-29, 30-44, 45-64",Positive,1,,✅,Yes,0,"June 6, 2023 2:26 PM",0,"April 18, 2025 4:16 PM",Mental Fatigue,Rhodiola Rosea,0,0,0,0,60,,"Rhodiola rosea (SHR-5), Part I: a proprietary root extract of Rhodiola rosea is found to be effective in the treatment of stress-related fatigue (https://www.notion.so/Rhodiola-rosea-SHR-5-Part-I-a-proprietary-root-extract-of-Rhodiola-rosea-is-found-to-be-effectiv-d48d0bd6da60435fb106b1a7e22acce0?pvs=21)",1,Both sexes,0,,Rhodiola Rosea,Randomized controlled trial,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"Intravenous L-carnitine significantly reduced total cholesterol, alanine aminotransferase, systolic and diastolic blood pressure, weight, waist circumference, waist hip ratio, insulin concentration, γ-glutamyltransferase concentration, perceived hunger, physical fatigue, and fatigue severity.",,Positive,1,,🚩,No,0,"June 6, 2023 2:37 PM",0,"April 18, 2025 4:05 PM","Physical Fatigue ",L-Carnitine,0,0,0,0,30,,"L-carnitine ameliorated fasting-induced fatigue, hunger, and metabolic abnormalities in patients with metabolic syndrome: a randomized controlled study (https://www.notion.so/L-carnitine-ameliorated-fasting-induced-fatigue-hunger-and-metabolic-abnormalities-in-patients-wit-d043b5a1731c4464bfd4790aba9fb93c?pvs=21)",0,Both sexes,0,,L-Carnitine,Randomized controlled trial,1-7 Days,,L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
" L-carnitine supplementation did not influence nonprotein respiratory quotient, heart rate, perceived fatigue, and other blood parameters.",18-29,NULL,-1,"Healthy Weight, Trained",✅,No,0,"June 13, 2023 6:51 PM",0,"April 18, 2025 4:05 PM","Physical Fatigue ",L-Carnitine,0,0,0,0,9,,Effect of L-carnitine on submaximal exercise metabolism after depletion of muscle glycogen (https://www.notion.so/Effect-of-L-carnitine-on-submaximal-exercise-metabolism-after-depletion-of-muscle-glycogen-d7891c3892cc4a44bb1e21402b7cc904?pvs=21),-1,Male,0,,L-Carnitine,Double-blind,1-7 Days,,L-Carnitine (https://www.notion.so/L-Carnitine-1d659c2aeec581a097fac6e8bdd9cfa1?pvs=21)
"The cadets who took either dose of the SHR-5 Rhodiola rosea extract showed a pronounced antifatigue effect, as shown by a statistically significant increase in the antifatigue index (AFI).",18-29,Positive,1,"Healthy Weight, Trained, Overweight",✅,No,0,"June 14, 2023 9:51 AM",0,"April 18, 2025 4:16 PM",Mental Fatigue,Rhodiola Rosea,0,0,0,0,121,,A randomized trial of two different doses of a SHR-5 Rhodiola rosea extract versus placebo and control of capacity for mental work (https://www.notion.so/A-randomized-trial-of-two-different-doses-of-a-SHR-5-Rhodiola-rosea-extract-versus-placebo-and-contr-5a742c052dc744d292f9e90c254c8f6b?pvs=21),1,Male,0,,Rhodiola Rosea,Double-blind,1-7 Days,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"Participants who took the Rhodiola rosea L. extract reported a significant decrease in anxiety, stress, anger, confusion, depression and overall mood improvement after 14 days.",,Positive,1,,✅,No,0,"June 14, 2023 9:52 AM",0,"April 18, 2025 4:16 PM",Mood,Rhodiola Rosea,0,0,0,0,80,,"The Effects of Rhodiola rosea L. Extract on Anxiety, Stress, Cognition and Other Mood Symptoms (https://www.notion.so/The-Effects-of-Rhodiola-rosea-L-Extract-on-Anxiety-Stress-Cognition-and-Other-Mood-Symptoms-37cee49f4fa54e22b6a36dcde7f82c3b?pvs=21)",1,Both sexes,0,,Rhodiola Rosea,Randomized controlled trial,1-2 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"Participants who took the Rhodiola rosea L. extract reported a significant decrease in anxiety, stress, anger, confusion, depression and overall mood improvement after 14 days.",,Positive,1,,✅,No,0,"June 14, 2023 9:52 AM",0,"April 18, 2025 4:16 PM",Stress,Rhodiola Rosea,0,0,0,0,80,,"The Effects of Rhodiola rosea L. Extract on Anxiety, Stress, Cognition and Other Mood Symptoms (https://www.notion.so/The-Effects-of-Rhodiola-rosea-L-Extract-on-Anxiety-Stress-Cognition-and-Other-Mood-Symptoms-37cee49f4fa54e22b6a36dcde7f82c3b?pvs=21)",1,Both sexes,0,,Rhodiola Rosea,Randomized controlled trial,1-2 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
"In the study, participants who took the SHR-5 Rhodiola rosea extract showed a significant reduction in stress-related fatigue. They also had improvements in depression rating, attention, stress, and various cognitive performance measures. Notably, there was a greater reduction in cortisol, a stress hormone, in the group that took the supplement.","8-29, 30-44, 45-64",Positive,1,,✅,Yes,0,"June 14, 2023 1:19 PM",0,"April 18, 2025 4:16 PM",Stress,Rhodiola Rosea,0,0,0,0,60,,"Rhodiola rosea (SHR-5), Part I: a proprietary root extract of Rhodiola rosea is found to be effective in the treatment of stress-related fatigue (https://www.notion.so/Rhodiola-rosea-SHR-5-Part-I-a-proprietary-root-extract-of-Rhodiola-rosea-is-found-to-be-effectiv-d48d0bd6da60435fb106b1a7e22acce0?pvs=21)",1,Both sexes,0,,Rhodiola Rosea,Randomized controlled trial,2-4 Weeks,,Rhodiola Rosea (https://www.notion.so/Rhodiola-Rosea-1d659c2aeec581cbb133f5a7a3b8dbfb?pvs=21)
